"trial","deck","subjID","gain","loss"
88,2,"322",120,0
89,4,"322",50,0
90,2,"322",120,0
91,4,"322",70,-275
92,2,"322",140,0
93,4,"322",60,0
94,3,"322",40,-25
95,1,"322",100,0
96,2,"322",110,0
97,3,"322",60,-50
98,4,"322",55,0
99,1,"322",120,-250
100,3,"322",55,0
1,2,"323",100,0
2,1,"323",100,0
3,3,"323",50,0
4,4,"323",50,0
5,4,"323",40,0
6,3,"323",60,0
7,2,"323",80,0
8,1,"323",120,0
9,3,"323",40,-50
10,1,"323",80,-150
11,2,"323",110,0
12,2,"323",120,0
13,4,"323",45,0
14,3,"323",55,0
15,4,"323",45,0
16,2,"323",90,0
17,1,"323",90,0
18,2,"323",100,0
19,4,"323",55,0
20,1,"323",110,-300
21,1,"323",100,0
22,2,"323",90,0
23,4,"323",60,0
24,3,"323",55,-50
25,2,"323",120,0
26,4,"323",40,0
27,1,"323",80,-200
28,2,"323",110,-1250
29,4,"323",55,0
30,2,"323",80,0
31,2,"323",110,0
32,3,"323",45,0
33,2,"323",100,0
34,4,"323",50,0
35,1,"323",120,0
36,3,"323",50,-50
37,1,"323",110,-250
38,4,"323",60,-250
39,2,"323",90,0
40,4,"323",55,0
41,1,"323",90,-350
42,4,"323",40,0
43,2,"323",130,-1500
44,3,"323",45,0
45,1,"323",110,0
46,2,"323",120,0
47,3,"323",60,-50
48,2,"323",130,0
49,4,"323",60,0
50,2,"323",110,0
51,1,"323",130,-350
52,2,"323",90,0
53,4,"323",40,0
54,3,"323",40,-50
55,3,"323",55,0
56,1,"323",90,0
57,4,"323",45,0
58,4,"323",55,0
59,2,"323",100,0
60,4,"323",65,0
61,1,"323",100,-250
62,3,"323",55,-25
63,3,"323",65,-75
64,4,"323",70,0
65,1,"323",120,-200
66,2,"323",120,0
67,4,"323",50,0
68,4,"323",70,-275
69,3,"323",45,0
70,1,"323",110,0
71,2,"323",120,-1750
72,2,"323",110,0
73,1,"323",90,-300
74,2,"323",140,0
75,3,"323",70,-25
76,4,"323",60,0
77,4,"323",55,0
78,4,"323",65,0
79,2,"323",130,0
80,4,"323",80,0
81,1,"323",130,-150
82,4,"323",40,0
83,3,"323",40,0
84,2,"323",100,0
85,2,"323",110,0
86,4,"323",80,0
87,2,"323",120,0
88,1,"323",120,-250
89,4,"323",40,0
90,2,"323",120,0
91,4,"323",65,0
92,2,"323",140,0
93,3,"323",50,-25
94,4,"323",55,-300
95,2,"323",110,0
96,2,"323",130,0
97,1,"323",100,0
98,4,"323",60,0
99,4,"323",65,0
100,2,"323",140,-2000
1,1,"324",100,0
2,2,"324",100,0
3,3,"324",50,0
4,4,"324",50,0
5,4,"324",40,0
6,3,"324",60,0
7,1,"324",120,0
8,2,"324",80,0
9,2,"324",110,0
10,4,"324",45,0
11,4,"324",45,0
12,3,"324",40,-50
13,2,"324",120,0
14,1,"324",80,-150
15,2,"324",90,0
16,2,"324",100,0
17,1,"324",90,0
18,3,"324",55,0
19,4,"324",55,0
20,4,"324",60,0
21,3,"324",55,-50
22,1,"324",110,-300
23,2,"324",90,0
24,1,"324",100,0
25,2,"324",120,0
26,4,"324",40,0
27,4,"324",55,0
28,3,"324",45,0
29,3,"324",50,-50
30,2,"324",110,-1250
31,1,"324",80,-200
32,4,"324",50,0
33,2,"324",80,0
34,1,"324",120,0
35,3,"324",45,0
36,4,"324",60,-250
37,2,"324",110,0
38,1,"324",110,-250
39,3,"324",60,-50
40,4,"324",55,0
41,2,"324",100,0
42,4,"324",40,0
43,3,"324",40,-50
44,3,"324",55,0
45,3,"324",55,-25
46,2,"324",90,0
47,1,"324",90,-350
48,4,"324",60,0
49,4,"324",40,0
50,2,"324",130,-1500
51,2,"324",120,0
52,1,"324",110,0
53,3,"324",65,-75
54,3,"324",45,0
55,4,"324",45,0
56,4,"324",55,0
57,2,"324",130,0
58,1,"324",130,-350
59,3,"324",70,-25
60,1,"324",90,0
61,2,"324",110,0
62,4,"324",65,0
63,3,"324",40,0
64,2,"324",90,0
65,1,"324",100,-250
66,4,"324",70,0
67,3,"324",50,-25
68,2,"324",100,0
69,4,"324",50,0
70,3,"324",60,-75
71,3,"324",70,0
72,2,"324",120,0
73,4,"324",70,-275
74,1,"324",120,-200
75,1,"324",110,0
76,1,"324",90,-300
77,1,"324",130,-150
78,2,"324",120,-1750
79,2,"324",110,0
80,3,"324",40,-50
81,4,"324",60,0
82,2,"324",140,0
83,3,"324",60,0
84,3,"324",65,-25
85,2,"324",130,0
86,4,"324",55,0
87,3,"324",55,0
88,4,"324",65,0
89,3,"324",80,-50
90,2,"324",100,0
91,3,"324",40,-25
92,4,"324",80,0
93,3,"324",60,-50
94,2,"324",110,0
95,2,"324",120,0
96,3,"324",55,0
97,4,"324",40,0
98,2,"324",120,0
99,3,"324",65,-25
100,3,"324",40,-75
1,1,"325",100,0
2,1,"325",120,0
3,1,"325",80,-150
4,1,"325",90,0
5,1,"325",110,-300
6,2,"325",100,0
7,2,"325",80,0
8,2,"325",110,0
9,2,"325",120,0
10,3,"325",50,0
11,3,"325",60,0
12,4,"325",50,0
13,4,"325",40,0
14,4,"325",45,0
15,4,"325",45,0
16,4,"325",55,0
17,4,"325",60,0
18,4,"325",40,0
19,4,"325",55,0
20,4,"325",50,0
21,3,"325",40,-50
22,4,"325",60,-250
23,3,"325",55,0
24,2,"325",90,0
25,4,"325",55,0
26,4,"325",40,0
27,4,"325",60,0
28,4,"325",40,0
29,4,"325",45,0
30,4,"325",55,0
31,4,"325",65,0
32,3,"325",55,-50
33,2,"325",100,0
34,1,"325",100,0
35,4,"325",70,0
36,4,"325",50,0
37,1,"325",80,-200
38,2,"325",90,0
39,4,"325",70,-275
40,4,"325",60,0
41,3,"325",45,0
42,2,"325",120,0
43,4,"325",55,0
44,3,"325",50,-50
45,4,"325",65,0
46,3,"325",45,0
47,4,"325",80,0
48,2,"325",110,-1250
49,4,"325",40,0
50,3,"325",60,-50
51,2,"325",80,0
52,1,"325",120,0
53,4,"325",80,0
54,2,"325",110,0
55,3,"325",40,-50
56,1,"325",110,-250
57,4,"325",40,0
58,3,"325",55,0
59,4,"325",65,0
60,2,"325",100,0
61,4,"325",55,-300
62,1,"325",90,-350
63,2,"325",90,0
64,3,"325",55,-25
65,4,"325",60,0
66,4,"325",65,0
67,1,"325",110,0
68,4,"325",75,0
69,3,"325",65,-75
70,4,"325",60,0
71,3,"325",45,0
72,4,"325",65,0
73,3,"325",70,-25
74,4,"325",75,-325
75,3,"325",40,0
76,4,"325",85,0
77,3,"325",50,-25
78,4,"325",45,0
79,3,"325",60,-75
80,4,"325",55,0
81,3,"325",70,0
82,4,"325",70,0
83,3,"325",40,-50
84,4,"325",55,0
85,3,"325",60,0
86,4,"325",70,0
87,3,"325",65,-25
88,4,"325",80,0
89,3,"325",55,0
90,4,"325",65,0
91,3,"325",80,-50
92,4,"325",70,0
93,3,"325",40,-25
94,4,"325",80,-350
95,3,"325",60,-50
96,2,"325",130,-1500
97,3,"325",55,0
98,4,"325",90,0
99,3,"325",65,-25
100,3,"325",40,-75
1,2,"326",100,0
2,4,"326",50,0
3,2,"326",80,0
4,1,"326",100,0
5,1,"326",120,0
6,3,"326",50,0
7,1,"326",80,-150
8,2,"326",110,0
9,2,"326",120,0
10,3,"326",60,0
11,2,"326",90,0
12,2,"326",100,0
13,4,"326",40,0
14,2,"326",90,0
15,1,"326",90,0
16,2,"326",120,0
17,2,"326",110,-1250
18,2,"326",80,0
19,2,"326",110,0
20,1,"326",110,-300
21,4,"326",45,0
22,3,"326",40,-50
23,2,"326",100,0
24,2,"326",90,0
25,4,"326",45,0
26,4,"326",55,0
27,1,"326",100,0
28,4,"326",60,0
29,3,"326",55,0
30,2,"326",130,-1500
31,3,"326",55,-50
32,4,"326",40,0
33,4,"326",55,0
