"sub_id","Wins_1","Wins_2","Wins_3","Wins_4","Wins_5","Wins_6","Wins_7","Wins_8","Wins_9","Wins_10","Wins_11","Wins_12","Wins_13","Wins_14","Wins_15","Wins_16","Wins_17","Wins_18","Wins_19","Wins_20","Wins_21","Wins_22","Wins_23","Wins_24","Wins_25","Wins_26","Wins_27","Wins_28","Wins_29","Wins_30","Wins_31","Wins_32","Wins_33","Wins_34","Wins_35","Wins_36","Wins_37","Wins_38","Wins_39","Wins_40","Wins_41","Wins_42","Wins_43","Wins_44","Wins_45","Wins_46","Wins_47","Wins_48","Wins_49","Wins_50","Wins_51","Wins_52","Wins_53","Wins_54","Wins_55","Wins_56","Wins_57","Wins_58","Wins_59","Wins_60","Wins_61","Wins_62","Wins_63","Wins_64","Wins_65","Wins_66","Wins_67","Wins_68","Wins_69","Wins_70","Wins_71","Wins_72","Wins_73","Wins_74","Wins_75","Wins_76","Wins_77","Wins_78","Wins_79","Wins_80","Wins_81","Wins_82","Wins_83","Wins_84","Wins_85","Wins_86","Wins_87","Wins_88","Wins_89","Wins_90","Wins_91","Wins_92","Wins_93","Wins_94","Wins_95","Wins_96","Wins_97","Wins_98","Wins_99","Wins_100","age"
"331",100,50,100,120,80,60,50,40,45,45,55,60,40,55,50,60,40,55,55,110,120,90,100,90,80,90,110,120,100,55,40,80,120,45,110,60,40,50,45,45,110,90,110,80,110,100,90,130,60,40,55,55,55,65,120,65,130,70,130,45,110,50,70,90,100,90,100,120,120,70,40,120,110,110,90,140,50,60,70,40,60,65,55,60,55,65,80,40,80,40,65,55,130,100,110,130,80,120,60,65,1
"332",100,100,120,80,80,110,50,50,90,120,110,60,40,40,45,100,80,45,55,90,100,55,55,60,40,55,50,60,120,110,55,45,50,90,120,110,40,60,40,45,55,45,65,60,70,90,50,40,70,55,55,65,45,70,40,50,60,70,40,80,110,60,65,55,110,80,130,40,60,55,65,40,80,65,75,55,60,70,65,55,75,45,85,70,80,60,90,100,65,75,70,60,80,50,90,75,85,90,100,65,1
"333",100,120,50,40,100,80,50,60,80,40,45,45,90,110,55,55,110,60,40,55,50,60,55,100,80,120,55,45,120,110,40,50,45,90,60,90,40,45,55,65,70,110,100,60,50,130,70,60,55,65,80,40,80,40,65,55,60,90,90,40,65,55,75,60,100,120,55,65,75,120,110,85,45,65,45,55,70,40,110,70,50,55,60,70,90,80,70,80,130,65,70,110,40,100,120,80,60,100,90,65,1
"334",100,50,120,100,80,80,50,60,110,40,40,55,90,120,55,45,110,90,100,45,45,55,90,60,120,40,55,110,50,100,80,45,60,80,50,110,60,120,40,110,100,90,90,55,40,55,130,110,120,55,60,130,130,65,110,90,90,100,100,120,40,45,45,120,110,140,120,70,55,65,70,50,130,40,50,110,90,100,110,60,70,130,120,120,120,70,40,100,140,120,60,60,65,55,140,110,55,130,65,140,1
"335",100,80,110,120,90,50,50,100,120,80,100,90,120,110,60,40,90,110,80,100,40,80,110,45,120,100,55,45,110,90,55,90,55,60,110,130,45,40,130,90,120,55,50,130,50,100,45,110,60,120,90,60,40,55,55,40,55,60,110,40,90,100,65,45,45,55,120,65,70,130,70,40,120,50,50,70,120,110,60,60,100,140,70,55,40,120,130,65,60,80,40,80,65,55,80,40,65,55,100,40,1
"336",100,50,120,60,80,100,50,40,80,110,120,90,100,90,120,110,90,110,80,55,40,100,80,110,55,45,45,55,45,50,100,120,45,60,60,110,90,90,40,40,110,55,55,130,130,55,65,45,70,50,40,120,90,130,60,55,50,100,40,60,70,60,40,40,120,110,60,65,45,55,110,55,90,65,90,100,130,80,120,40,120,70,60,120,100,110,120,140,140,130,55,50,110,100,65,110,100,40,110,70,1
"337",100,100,50,50,80,120,60,40,40,80,110,45,55,120,90,45,100,55,55,90,90,60,120,110,110,45,40,100,80,55,50,50,60,80,45,110,55,60,40,40,100,120,90,60,55,130,110,90,40,55,120,130,65,45,110,55,110,65,90,45,130,70,70,50,90,100,100,40,70,50,60,55,65,120,60,80,40,120,110,80,120,110,140,130,100,70,40,90,110,130,65,120,40,55,120,60,60,65,75,120,1
"338",100,50,50,100,120,80,80,60,40,90,110,100,80,110,120,90,120,110,90,100,90,120,110,80,110,40,130,90,110,100,100,90,120,130,120,130,110,55,55,45,45,55,60,40,55,50,60,90,100,120,120,110,140,130,110,90,130,100,110,120,120,120,140,110,45,130,140,120,110,130,100,120,140,110,110,150,110,150,120,50,55,140,140,150,130,120,140,160,120,100,120,130,110,140,120,130,120,140,130,160,1
"339",50,100,100,50,40,60,80,120,80,110,40,45,45,120,55,90,60,100,90,40,120,55,110,50,60,55,90,55,110,80,110,100,90,130,55,40,60,40,45,55,65,70,50,70,60,55,65,80,45,50,45,60,40,100,80,40,80,40,65,55,60,65,75,60,65,75,55,55,65,120,130,110,90,100,120,45,70,40,85,45,50,110,90,120,120,60,70,40,55,70,110,55,70,80,65,60,65,55,80,40,1
"340",100,50,100,50,120,60,80,40,80,110,45,40,90,45,120,55,55,110,90,45,55,100,50,100,45,60,80,90,60,120,40,120,110,40,55,110,55,90,80,55,110,110,65,50,100,45,130,90,70,60,130,40,90,55,120,100,50,130,40,110,60,60,120,90,40,100,110,45,70,120,55,90,120,40,65,110,60,70,65,130,140,50,55,130,100,80,120,40,110,70,100,120,60,60,120,120,55,140,65,55,1
